part_number,assembly_path,object_name,label,quantity,material_code,material_description,material_standard,estimated_mass_kg,volume_mm3,design_status
03-081,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Esq_Porca_Dir,Estacao Superior Sela Esq Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-082,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Suporte_Sela_Esq,Estacao Superior Suporte Sela Esq,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,2.1195,270000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-083,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Aro_Canaletado,Estacao Superior Sela Dir Aro Canaletado,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,3.629702,462382.389,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-084,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Cubo,Estacao Superior Sela Dir Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.212413,27059.025,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-085,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Rolamento_Esq,Estacao Superior Sela Dir Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-086,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Rolamento_Dir,Estacao Superior Sela Dir Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.014481,1844.671,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-087,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Eixo,Estacao Superior Sela Dir Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.191413,24383.786,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-088,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Arruela_Esq,Estacao Superior Sela Dir Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-089,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Arruela_Dir,Estacao Superior Sela Dir Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.013932,1774.785,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-090,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Porca_Esq,Estacao Superior Sela Dir Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-091,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Sela_Dir_Porca_Dir,Estacao Superior Sela Dir Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.055318,7046.831,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-092,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Suporte_Sela_Dir,Estacao Superior Suporte Sela Dir,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,2.1195,270000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-093,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Piso_Plataforma,Estacao Superior Piso Plataforma,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",635.85,81000000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-094,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Pe_Plataforma_MM,Estacao Superior Pe Plataforma MM,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-095,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Pe_Plataforma_MP,Estacao Superior Pe Plataforma MP,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-096,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Pe_Plataforma_PM,Estacao Superior Pe Plataforma PM,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-097,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Pe_Plataforma_PP,Estacao Superior Pe Plataforma PP,1,STEEL_BLUE,Aco galvanizado pintado,"Tubo AISC 63,5 x 38,1 x 3,175 mm; aco-base a confirmar",5.893152,750720.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-098,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_01,Estacao Superior Guarda Corpo 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-099,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_02,Estacao Superior Guarda Corpo 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-100,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_03,Estacao Superior Guarda Corpo 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,18.496127,2356194.49,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-101,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_04,Estacao Superior Guarda Corpo 04,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.588392,1221451.224,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-102,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_05,Estacao Superior Guarda Corpo 05,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-103,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_06,Estacao Superior Guarda Corpo 06,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,9.61625,1225000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-104,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Guarda_Corpo_07,Estacao Superior Guarda Corpo 07,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,13.872095,1767145.868,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-105,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Tirante_Terminal_Esq,Estacao Superior Tirante Terminal Esq,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.707929,217570.586,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-106,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Olhal_Terminal_Esq,Estacao Superior Olhal Terminal Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.543786,69272.118,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-107,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chapa_Terminal_Esq,Estacao Superior Chapa Terminal Esq,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,3.768,480000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-108,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Tirante_Terminal_Dir,Estacao Superior Tirante Terminal Dir,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.707929,217570.586,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-109,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Olhal_Terminal_Dir,Estacao Superior Olhal Terminal Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.543786,69272.118,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-110,03_Estacoes/Estacao_Superior_Montagem,Estacao_Superior_Chapa_Terminal_Dir,Estacao Superior Chapa Terminal Dir,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,3.768,480000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-001,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Alma,Cabo Portante Esquerdo - conjunto comercial,1,CABLE,Cabo de aco galvanizado 6x19,"Cabo galvanizado, resistencia nominal 1670 MPa; certificado obrigatorio",13.950541,546905.278,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-008,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Sapatilha_Inferior,Cabo Portante Esquerdo Sapatilha Inferior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.376845,48005.756,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-009,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Esticador_Inferior,Cabo Portante Esquerdo Esticador Inferior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.62363,206831.851,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-010,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Inferior_01,Cabo Portante Esquerdo Grampo Inferior 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-011,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Inferior_02,Cabo Portante Esquerdo Grampo Inferior 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-012,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Inferior_03,Cabo Portante Esquerdo Grampo Inferior 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-013,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Sapatilha_Superior,Cabo Portante Esquerdo Sapatilha Superior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.376845,48005.756,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-014,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Esticador_Superior,Cabo Portante Esquerdo Esticador Superior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.62363,206831.851,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-015,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Superior_01,Cabo Portante Esquerdo Grampo Superior 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-016,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Superior_02,Cabo Portante Esquerdo Grampo Superior 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-017,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Esquerdo_Grampo_Superior_03,Cabo Portante Esquerdo Grampo Superior 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-018,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Alma,Cabo Portante Direito - conjunto comercial,1,CABLE,Cabo de aco galvanizado 6x19,"Cabo galvanizado, resistencia nominal 1670 MPa; certificado obrigatorio",13.950541,546905.278,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-025,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Sapatilha_Inferior,Cabo Portante Direito Sapatilha Inferior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.376845,48005.756,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-026,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Esticador_Inferior,Cabo Portante Direito Esticador Inferior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.62363,206831.851,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-027,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Inferior_01,Cabo Portante Direito Grampo Inferior 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-028,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Inferior_02,Cabo Portante Direito Grampo Inferior 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-029,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Inferior_03,Cabo Portante Direito Grampo Inferior 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-030,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Sapatilha_Superior,Cabo Portante Direito Sapatilha Superior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.376845,48005.756,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-031,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Esticador_Superior,Cabo Portante Direito Esticador Superior,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.62363,206831.851,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-032,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Superior_01,Cabo Portante Direito Grampo Superior 01,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-033,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Superior_02,Cabo Portante Direito Grampo Superior 02,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
04-034,04_Cabos_Portantes/04_Cabos_Portantes,Cabo_Portante_Direito_Grampo_Superior_03,Cabo Portante Direito Grampo Superior 03,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.150908,19223.893,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-001,05_Sistema_Tracao/05_Sistema_Tracao,Cabo_Tracao_Entre_Estacoes_Alma,Cabo Tracao Entre Estacoes - conjunto comercial,1,CABLE,Cabo de aco galvanizado 6x19,"Cabo galvanizado, resistencia nominal 1670 MPa; certificado obrigatorio",1.492608,76890.809,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-005,05_Sistema_Tracao/05_Sistema_Tracao,Cabo_Tracao_Retorno_Entre_Estacoes_Alma,Cabo Tracao Retorno Entre Estacoes - conjunto comercial,1,CABLE,Cabo de aco galvanizado 6x19,"Cabo galvanizado, resistencia nominal 1670 MPa; certificado obrigatorio",1.49266,76893.459,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-010,05_Sistema_Tracao/05_Sistema_Tracao,Cabo_Tracao_Guincho_Guia,Cabo Tracao Guincho Guia,1,CABLE,Cabo de aco galvanizado 6x19,"Cabo galvanizado, resistencia nominal 1670 MPa; certificado obrigatorio",0.45817,58365.561,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-011,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Aro_Canaletado,Polia Guia Tracao Inferior Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,8.084876,1029920.568,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-012,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Cubo,Polia Guia Tracao Inferior Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.451456,57510.29,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-013,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Rolamento_Esq,Polia Guia Tracao Inferior Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.030777,3920.598,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-014,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Rolamento_Dir,Polia Guia Tracao Inferior Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.030777,3920.598,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-015,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Eixo,Polia Guia Tracao Inferior Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.345182,43972.244,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-016,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Arruela_Esq,Polia Guia Tracao Inferior Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.023031,2933.828,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-017,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Arruela_Dir,Polia Guia Tracao Inferior Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.023031,2933.828,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-018,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Porca_Esq,Polia Guia Tracao Inferior Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.091443,11648.843,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-019,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Inferior_Porca_Dir,Polia Guia Tracao Inferior Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.091443,11648.843,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-020,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Aro_Canaletado,Polia Guia Tracao Superior Aro Canaletado,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,8.084876,1029920.568,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-021,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Cubo,Polia Guia Tracao Superior Cubo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.451456,57510.29,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-022,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Rolamento_Esq,Polia Guia Tracao Superior Rolamento Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.030777,3920.598,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-023,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Rolamento_Dir,Polia Guia Tracao Superior Rolamento Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.030777,3920.598,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-024,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Eixo,Polia Guia Tracao Superior Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.345182,43972.244,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-025,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Arruela_Esq,Polia Guia Tracao Superior Arruela Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.023031,2933.828,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-026,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Arruela_Dir,Polia Guia Tracao Superior Arruela Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.023031,2933.828,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-027,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Porca_Esq,Polia Guia Tracao Superior Porca Esq,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.091443,11648.843,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-028,05_Sistema_Tracao/05_Sistema_Tracao,Polia_Guia_Tracao_Superior_Porca_Dir,Polia Guia Tracao Superior Porca Dir,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.091443,11648.843,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
05-029,05_Sistema_Tracao/05_Sistema_Tracao,Grampo_Tracao_Trolley,Grampo Tracao Trolley,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,1.144794,145833.627,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-001,06_Guincho/06_Guincho,Guincho_Base,Guincho Base,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,18.68928,2380800.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-002,06_Guincho/06_Guincho,Guincho_Lateral_Interna,Guincho Lateral Interna,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,15.523497,1977515.49,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-003,06_Guincho/06_Guincho,Guincho_Lateral_Externa,Guincho Lateral Externa,1,SAFETY_ORANGE,Aco pintado,Aco carbono pintado; sistema epoxi a confirmar,15.523497,1977515.49,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-004,06_Guincho/06_Guincho,Guincho_Espacador_01,Guincho Espacador 01,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.024896,130560.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-005,06_Guincho/06_Guincho,Guincho_Espacador_02,Guincho Espacador 02,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,1.024896,130560.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-006,06_Guincho/06_Guincho,Guincho_Tambor,Guincho Tambor,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,7.078838,901762.755,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-007,06_Guincho/06_Guincho,Guincho_Flange_Tambor_Interna,Guincho Flange Tambor Interna,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,3.334235,424743.327,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-008,06_Guincho/06_Guincho,Guincho_Flange_Tambor_Externa,Guincho Flange Tambor Externa,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,3.334235,424743.327,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-009,06_Guincho/06_Guincho,Guincho_Eixo_Tambor,Guincho Eixo Tambor,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,4.340424,552920.307,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-010,06_Guincho/06_Guincho,Guincho_Mancal_Interno,Guincho Mancal Interno,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.72736,92657.348,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-011,06_Guincho/06_Guincho,Guincho_Mancal_Externo,Guincho Mancal Externo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,0.72736,92657.348,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-012,06_Guincho/06_Guincho,Guincho_Engrenagem_Tambor,Guincho Engrenagem Tambor,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,14.778305,1882586.58,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-013,06_Guincho/06_Guincho,Guincho_Roda_Catraca,Guincho Roda Catraca,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,6.363585,810647.772,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-014,06_Guincho/06_Guincho,Guincho_Pinhao_Entrada,Guincho Pinhao Entrada,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1.122678,143016.293,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-015,06_Guincho/06_Guincho,Guincho_Eixo_Entrada,Guincho Eixo Entrada,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.580039,73890.259,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-016,06_Guincho/06_Guincho,Guincho_Lingueta_Catraca,Guincho Lingueta Catraca,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,0.493432,62857.52,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-017,06_Guincho/06_Guincho,Guincho_Disco_Freio,Guincho Disco Freio,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,5.753035,732870.734,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
06-018,06_Guincho/06_Guincho,Guincho_Sapata_Freio,Guincho Sapata Freio,1,RUBBER,Borracha reciclada,Borracha industrial; dureza e composto a confirmar,0.06006,54600.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
